Stock Name,Dates,Predicted Prices,Mean,Std Deviation,Classification
GDAXI,2020-04-16,10218.623,10190.0556640625,374.1052933675418,Conservative
GDAXI,2020-04-17,10248.3125,10300.895786830357,200.88948593947316,Conservative
GDAXI,2020-04-20,10550.499,10379.803152901786,167.92862239538772,Conservative
GDAXI,2020-04-21,10597.454,10426.7841796875,177.36614617045205,Conservative
GDAXI,2020-04-22,10191.529,10416.970703125,189.5964190503404,Conservative
GDAXI,2020-04-23,10358.027,10397.64174107143,187.39846884193682,Conservative
GDAXI,2020-04-24,10440.165,10372.087193080357,162.75025336730246,Conservative
GDAXI,2020-04-27,10271.495,10379.640345982143,155.50672041068287,Conservative
GDAXI,2020-04-28,10590.554,10428.531947544643,161.03765813228085,Conservative
GDAXI,2020-04-29,10714.806,10452.004324776786,190.97066517180605,Conservative
GDAXI,2020-04-30,11024.712,10513.04115513393,288.5534763768771,Conservative
GDAXI,2020-05-04,10786.427,10598.02650669643,264.69822290817945,Conservative
GDAXI,2020-05-05,10413.133,10605.898716517857,257.0807828260724,Conservative
GDAXI,2020-05-06,10667.667,10638.398995535714,246.8119947360244,Conservative
GDAXI,2020-05-07,10533.121,10675.774135044643,196.71622444429536,Conservative
GDAXI,2020-05-08,10691.428,10690.18470982143,193.0943204701282,Conservative
GDAXI,2020-05-11,10827.983,10706.352957589286,200.11034503173158,Conservative
GDAXI,2020-05-12,10752.771,10667.504324776786,147.4803047273036,Conservative
GDAXI,2020-05-13,10752.742,10662.69224330357,143.44772390462404,Conservative
GDAXI,2020-05-14,10479.986,10672.242745535714,125.11764746865067,Conservative
GDAXI,2020-05-15,10283.462,10617.35630580357,193.20477167397036,Conservative
GDAXI,2020-05-18,10402.1,10598.638950892857,208.469023106233,Conservative
GDAXI,2020-05-19,10951.035,10635.72572544643,247.21829990641496,Conservative
GDAXI,2020-05-20,10987.16,10658.465262276786,273.7471057488351,Conservative
GDAXI,2020-05-21,11148.822,10715.0439453125,331.3540812642867,Conservative
GDAXI,2020-05-22,10992.95,10749.359375,347.932236780279,Conservative
GDAXI,2020-05-25,11007.95,10824.782784598214,336.85496070386176,Conservative
GDAXI,2020-05-26,11307.649,10971.095284598214,280.2106501317991,Conservative
GDAXI,2020-05-27,11415.705,11115.896065848214,181.77778421590043,Conservative
GDAXI,2020-05-28,11572.65,11204.6982421875,232.55952106835264,Conservative
GDAXI,2020-05-29,11693.5,11305.603934151786,272.28484287260375,Conservative
GDAXI,2020-06-02,11509.423,11357.11830357143,271.7902873112713,Conservative
GDAXI,2020-06-03,11927.288,11490.595145089286,291.8282773481314,Conservative
GDAXI,2020-06-04,12315.025,11677.32017299107,344.881112523928,Conservative
GDAXI,2020-06-05,12326.291,11822.840401785714,376.3711856482251,Conservative
GDAXI,2020-06-08,12717.248,12008.775111607143,454.99733807366016,Conservative
GDAXI,2020-06-09,12711.537,12171.473214285714,476.18455996129035,Conservative
GDAXI,2020-06-10,12532.988,12291.400111607143,440.0886153251274,Conservative
GDAXI,2020-06-11,12451.4,12425.968331473214,273.684535401049,Conservative
GDAXI,2020-06-12,11896.53,12421.57435825893,283.10977567925283,Conservative
GDAXI,2020-06-15,11887.787,12360.540318080357,348.42668684974024,Conservative
GDAXI,2020-06-16,11831.874,12289.90931919643,402.45099225534307,Conservative
GDAXI,2020-06-17,12207.677,12217.11342075893,355.6332176968343,Conservative
GDAXI,2020-06-18,12276.607,12154.98060825893,286.0394089271559,Conservative
GDAXI,2020-06-19,12195.719,12106.799246651786,235.73677087822045,Conservative
GDAXI,2020-06-22,12248.716,12077.844308035714,195.34268906406066,Conservative
GDAXI,2020-06-23,12177.621,12118.00013950893,180.16001648568138,Conservative
GDAXI,2020-06-24,12429.482,12195.385184151786,181.13063714927785,Conservative
GDAXI,2020-06-25,12006.19,12220.287527901786,126.59861134564406,Conservative
GDAXI,2020-06-26,12108.27,12206.086495535714,133.6291916571571,Conservative
GDAXI,2020-06-29,12004.8955,12167.2705078125,148.3792502039173,Conservative
GDAXI,2020-06-30,12147.191,12160.33803013393,147.96163041765877,Conservative
GDAXI,2020-07-01,12217.316,12155.85239955357,145.28759974109033,Conservative
GDAXI,2020-07-02,12174.048,12155.34193638393,145.20462242953465,Conservative
GDAXI,2020-07-03,12501.866,12165.68247767857,168.6633104536757,Conservative
GDAXI,2020-07-06,12428.491,12226.011160714286,177.40619149575568,Conservative
GDAXI,2020-07-07,12640.199,12302.00111607143,225.8705689808526,Conservative
GDAXI,2020-07-08,12523.349,12376.065848214286,195.11918258130868,Conservative
GDAXI,2020-07-09,12413.559,12414.11830357143,166.99063982729808,Conservative
GDAXI,2020-07-10,12407.607,12441.302734375,143.4420292800869,Conservative
GDAXI,2020-07-13,12540.301,12493.624581473214,84.32684991102512,Conservative
GDAXI,2020-07-14,12695.778,12521.32631138393,114.08521265970028,Conservative
GDAXI,2020-07-15,12604.138,12546.418666294643,109.48713774850948,Conservative
GDAXI,2020-07-16,12834.825,12574.222377232143,153.24099188434795,Conservative
GDAXI,2020-07-17,12775.285,12610.213309151786,168.16038105243166,Conservative
GDAXI,2020-07-20,12829.198,12669.590401785714,160.3482316883539,Conservative
GDAXI,2020-07-21,12948.309,12746.833426339286,142.3333454179292,Conservative
GDAXI,2020-07-22,13065.315,12821.835518973214,153.2702096407955,Conservative
GDAXI,2020-07-23,13007.524,12866.370675223214,155.8080177707027,Conservative
GDAXI,2020-07-24,13013.371,12924.832589285714,111.4863593547493,Conservative
GDAXI,2020-07-27,12750.452,12912.779296875,126.4024552161717,Conservative
GDAXI,2020-07-28,12759.776,12910.563755580357,129.31639592630322,Conservative
GDAXI,2020-07-29,12744.67,12898.48828125,141.54862489728,Conservative
GDAXI,2020-07-30,12732.269,12867.625418526786,152.03913923420822,Conservative
GDAXI,2020-07-31,12297.068,12757.87583705357,238.3396113234426,Conservative
GDAXI,2020-08-03,12244.671,12648.896763392857,276.512341346205,Conservative
GDAXI,2020-08-04,12542.362,12581.609793526786,225.67297456962237,Conservative
GDAXI,2020-08-05,12499.667,12545.78334263393,214.00618702157965,Conservative
GDAXI,2020-08-06,12571.434,12518.877232142857,193.47232267756803,Conservative
GDAXI,2020-08-07,12503.223,12484.384765625,166.09427701259816,Conservative
GDAXI,2020-08-10,12586.071,12463.499441964286,136.23769185750223,Conservative
GDAXI,2020-08-11,12594.29,12505.959681919643,121.20988910010782,Conservative
GDAXI,2020-08-12,12837.452,12590.64271763393,115.15781527536889,Conservative
GDAXI,2020-08-13,12946.592,12648.38978794643,173.49044850967647,Conservative
GDAXI,2020-08-14,12898.499,12705.365792410714,181.79930255234456,Conservative
GDAXI,2020-08-17,12815.482,12740.229910714286,175.11196869527035,Conservative
GDAXI,2020-08-18,12832.671,12787.2939453125,141.92306810141588,Conservative
GDAXI,2020-08-19,12790.969,12816.565011160714,111.33906418823337,Conservative
GDAXI,2020-08-20,12884.029,12857.956333705357,54.05382940117354,Conservative
GDAXI,2020-08-21,12739.014,12843.89369419643,70.5614734559774,Conservative
GDAXI,2020-08-24,12682.487,12806.164481026786,76.82685816539706,Conservative
GDAXI,2020-08-25,12949.7,12813.478934151786,88.61576401811566,Conservative
GDAXI,2020-08-26,12955.563,12833.490513392857,103.68002210168923,Conservative
GDAXI,2020-08-27,13092.729,12870.6416015625,142.6180963654098,Conservative
GDAXI,2020-08-28,13000.278,12900.54296875,145.05102649283793,Conservative
GDAXI,2020-08-31,12946.743,12909.50209263393,145.7959173539628,Conservative
GDAXI,2020-09-01,12859.092,12926.65611049107,128.42233133145066,Conservative
GDAXI,2020-09-02,12885.292,12955.628208705357,76.56226043614578,Conservative
GDAXI,2020-09-03,13113.769,12979.06654575893,96.8662449947198,Conservative
GDAXI,2020-09-04,12958.339,12979.46303013393,96.7596321773303,Conservative
GDAXI,2020-09-07,12761.513,12932.146484375,111.93439167796659,Conservative
GDAXI,2020-09-08,13006.022,12932.967075892857,112.5365477623996,Conservative
GDAXI,2020-09-09,12868.867,12921.84193638393,114.77476601060853,Conservative
GDAXI,2020-09-10,13125.495,12959.89955357143,133.19024234644675,Conservative
GDAXI,2020-09-11,13103.779,12991.112025669643,138.29522006315844,Conservative
