Stock Name,Dates,Mean,Std Deviation,Classification
GDAXI,2020-04-30,10371.644,336.17978,Conservative
GDAXI,2020-05-31,10883.412,393.10754,Conservative
GDAXI,2020-06-30,12186.18,296.06903,Conservative
GDAXI,2020-07-31,12648.031,252.03111,Conservative
GDAXI,2020-08-31,12757.807,213.13132,Conservative
GDAXI,2020-09-30,12874.017,252.97424,Conservative
GDAXI,2020-10-31,12571.368,428.28983,Conservative
GDAXI,2020-11-30,12775.201,523.2169,Conservative
GDAXI,2020-12-31,13298.873,175.81679,Conservative
GDAXI,2021-01-31,13728.361,115.765305,Conservative
GDAXI,2021-02-28,13816.705,155.8542,Conservative
GDAXI,2021-03-31,14306.322,299.89008,Conservative
GDAXI,2021-04-30,15053.373,87.037,Conservative
GDAXI,2021-05-31,15098.224,139.9544,Conservative
