Stock Name,Dates,Mean,Std Deviation,Classification
SSMI,2020-03-31,9089.463,130.51729,Conservative
SSMI,2020-04-30,9517.459,183.93228,Conservative
SSMI,2020-05-31,9656.2705,117.79942,Conservative
SSMI,2020-06-30,10023.891,124.09965,Conservative
SSMI,2020-07-31,10207.049,115.60109,Conservative
SSMI,2020-08-31,10135.788,71.69259,Conservative
SSMI,2020-09-30,10270.293,112.70721,Conservative
SSMI,2020-10-31,10079.279,186.4151,Conservative
SSMI,2020-11-30,10288.897,246.57597,Conservative
SSMI,2020-12-31,10358.135,73.1016,Conservative
SSMI,2021-01-31,10739.175,73.567856,Conservative
SSMI,2021-02-28,10662.01,74.130775,Conservative
SSMI,2021-03-31,10793.915,148.94942,Conservative
SSMI,2021-04-30,11030.063,49.680645,Conservative
SSMI,2021-05-31,11004.737,88.52776,Conservative
